phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
6818080,http://pubgeventdx.jkub.com/,http://www.phishtank.com/phish_detail.php?phish_id=6818080,2020-10-22T11:36:21+00:00,yes,2020-10-22T11:42:29+00:00,yes,Facebook
6818079,https://pubg15xgif.itemdb.com/,http://www.phishtank.com/phish_detail.php?phish_id=6818079,2020-10-22T11:36:05+00:00,yes,2020-10-22T11:42:29+00:00,yes,Facebook
6818078,http://pubgeventdx.otzo.com/,http://www.phishtank.com/phish_detail.php?phish_id=6818078,2020-10-22T11:35:47+00:00,yes,2020-10-22T11:42:29+00:00,yes,Other
6818069,https://attloginservice.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=6818069,2020-10-22T11:23:15+00:00,yes,2020-10-22T11:26:57+00:00,yes,Other
6818055,https://bit.ly/3jdlkyA,http://www.phishtank.com/phish_detail.php?phish_id=6818055,2020-10-22T11:10:10+00:00,yes,2020-10-22T11:15:54+00:00,yes,"eBay, Inc."
6818042,https://ee-co.uk-auth-id6.com/?e=2,http://www.phishtank.com/phish_detail.php?phish_id=6818042,2020-10-22T10:56:38+00:00,yes,2020-10-22T10:58:46+00:00,yes,Other
6818038,https://ee-co.uk-service-id3.com/?e=2,http://www.phishtank.com/phish_detail.php?phish_id=6818038,2020-10-22T10:56:35+00:00,yes,2020-10-22T10:58:46+00:00,yes,Other
6818028,https://eecontract.verify-info-secure.com/account/index?ac=ee,http://www.phishtank.com/phish_detail.php?phish_id=6818028,2020-10-22T10:36:53+00:00,yes,2020-10-22T10:42:48+00:00,yes,Other
6818027,http://eecontract.verify-info-secure.com/,http://www.phishtank.com/phish_detail.php?phish_id=6818027,2020-10-22T10:36:52+00:00,yes,2020-10-22T10:42:48+00:00,yes,Other
6817996,https://nappiesfrosting.com/ionos/authenticationpage.php,http://www.phishtank.com/phish_detail.php?phish_id=6817996,2020-10-22T10:13:09+00:00,yes,2020-10-22T10:14:30+00:00,yes,Other
6817994,https://halifax-verifypayee.com/,http://www.phishtank.com/phish_detail.php?phish_id=6817994,2020-10-22T10:09:12+00:00,yes,2020-10-22T10:14:30+00:00,yes,Halifax
6817991,https://halifax-fraudalert.com/,http://www.phishtank.com/phish_detail.php?phish_id=6817991,2020-10-22T10:07:31+00:00,yes,2020-10-22T10:08:39+00:00,yes,Halifax
6817992,https://halifax-fraudalert.com/Login.php,http://www.phishtank.com/phish_detail.php?phish_id=6817992,2020-10-22T10:07:31+00:00,yes,2020-10-22T10:09:24+00:00,yes,Halifax
